CUS_ID,CUS_NAME,ADDRESS,SEX,COMPANY,EMAIL,PHONE_NUMBER
MKH209292,Aaron Adams,Đắk Nông,Oth,Cong ty 12043,Aaron Adams@gmail.com,0988902949
MKH435992,Aaron Alexander,Hà Nội,Oth,Cong ty 9490,Aaron Alexander@gmail.com,0988842444
MKH549765,Aaron Allen,Hòa Bình,mr,Cong ty 27994,Aaron Allen@gmail.com,0983005132
MKH347133,Aaron Baker,Hòa Bình,Ms,Cong ty 6536,Aaron Baker@gmail.com,0981579936
MKH244458,Aaron Bryant,Bình Dương,mr,Cong ty 20053,Aaron Bryant@gmail.com,0985014837
MKH586829,Aaron Butler,Bắc Ninh,Oth,Cong ty 8653,Aaron Butler@gmail.com,0982052513
MKH570918,Aaron Campbell,Thanh Hóa,Ms,Cong ty 25539,Aaron Campbell@gmail.com,0983260784
MKH966479,Aaron Carter,Tây Ninh,mr,Cong ty 38435,Aaron Carter@gmail.com,0986307985
MKH257276,Aaron Chen,Quảng Nam,Ms,Cong ty 33851,Aaron Chen@gmail.com,0985077084
MKH999590,Aaron Coleman,Bắc Giang,mr,Cong ty 29999,Aaron Coleman@gmail.com,0983963542
MKH220936,Aaron Collins,Bình Thuận,Ms,Cong ty 16002,Aaron Collins@gmail.com,0987909159
MKH912173,Aaron Con,Sơn La,Oth,Cong ty 18901,Aaron Con@gmail.com,0984865403
MKH575359,Aaron Diaz,TP Hồ Chí Minh,mr,Cong ty 28410,Aaron Diaz@gmail.com,0988270879
MKH375353,Aaron Edwards,Vĩnh Phúc,Oth,Cong ty 8913,Aaron Edwards@gmail.com,0982263613
MKH558921,Aaron Evans,Bạc Liêu,Oth,Cong ty 32101,Aaron Evans@gmail.com,0988840771
MKH441277,Aaron Flores,Đồng Tháp,Oth,Cong ty 34437,Aaron Flores@gmail.com,0981468419
MKH855909,Aaron Foster,Quảng Bình,mr,Cong ty 20316,Aaron Foster@gmail.com,0986965464
MKH551192,Aaron Gonzales,Đắk Lắk,mr,Cong ty 30838,Aaron Gonzales@gmail.com,0986005147
MKH307837,Aaron Gonzalez,Kiên Giang,Oth,Cong ty 16339,Aaron Gonzalez@gmail.com,0987406743
MKH420992,Aaron Green,Quảng Ninh,Ms,Cong ty 28910,Aaron Green@gmail.com,0987626298
MKH908115,Aaron Griffin,Tây Ninh,Ms,Cong ty 19855,Aaron Griffin@gmail.com,0988867180
MKH836421,Aaron Hall,Quảng Ngãi,Ms,Cong ty 21753,Aaron Hall@gmail.com,0983751199
MKH464090,Aaron Hayes,Lạng Sơn,mr,Cong ty 30170,Aaron Hayes@gmail.com,0989765167
MKH298512,Aaron Henderson,An Giang,Ms,Cong ty 17756,Aaron Henderson@gmail.com,0985682078
MKH274741,Aaron Hernandez,Bắc Ninh,Oth,Cong ty 41948,Aaron Hernandez@gmail.com,0987223530
MKH803048,Aaron Hill,Thừa Thiên Huế,Oth,Cong ty 37037,Aaron Hill@gmail.com,0986441915
MKH384787,Aaron Hughes,Hưng Yên,mr,Cong ty 14748,Aaron Hughes@gmail.com,0988768234
MKH675992,Aaron Jai,Kiên Giang,mr,Cong ty 29524,Aaron Jai@gmail.com,0985156624
MKH841549,Aaron Jenkins,Bình Dương,Ms,Cong ty 19106,Aaron Jenkins@gmail.com,0986896052
MKH796985,Aaron King,Cao Bằng,Ms,Cong ty 32891,Aaron King@gmail.com,0983250327
MKH764572,Aaron Kumar,Vĩnh Long,mr,Cong ty 23376,Aaron Kumar@gmail.com,0981525682
MKH328607,Aaron Lal,Hà Nam,Ms,Cong ty 47746,Aaron Lal@gmail.com,0981865794
MKH524318,Aaron Li,Yên Bái,Ms,Cong ty 14491,Aaron Li@gmail.com,0981661592
